Query_ID,Query,Category,Difficulty,Tool_Accuracy,SQL_Validity,Value_Accuracy,Semantic_Similarity,Overall_Score,Passed,Graph_Generated,Error
1,What was the total revenue in 2024?,structured,easy,0.000,0.000,1.000,0.927,0.578,False,False,
2,What is the net income for 2024?,structured,easy,0.000,0.000,0.000,0.742,0.223,False,False,
3,What was the revenue in Q1 2024?,structured,easy,0.000,0.000,1.000,0.870,0.561,False,False,
4,What was the average stock price in 2024?,structured,easy,0.000,0.000,1.000,0.962,0.589,False,False,
5,What was the gross profit in 2024?,structured,easy,0.000,0.000,0.000,0.774,0.232,False,False,
6,What was the revenue in 2023?,structured,easy,0.000,0.000,1.000,0.937,0.581,False,False,
7,Show me the revenue by quarter for 2024,structured,medium,0.000,0.000,0.500,0.893,0.418,False,False,
8,What was the highest stock price in 2024?,structured,medium,0.000,0.000,0.000,0.909,0.273,False,False,
9,What was the lowest stock price in 2024?,structured,medium,0.000,0.000,1.000,0.950,0.585,False,False,
10,What was the total trading volume in 2024?,structured,medium,0.000,0.000,1.000,0.846,0.554,False,False,
11,Compare revenue between 2023 and 2024,structured,medium,0.000,0.000,0.500,0.700,0.360,False,False,
12,What was the net income in Q2 2024?,structured,medium,0.000,0.000,1.000,0.894,0.568,False,False,
13,What quarter had the highest revenue in 2024?,structured,hard,0.000,0.000,0.500,0.898,0.419,False,False,
14,What quarter had the lowest revenue in 2024?,structured,hard,0.000,0.000,0.500,0.882,0.415,False,False,
15,What was the revenue growth from 2022 to 2023?,structured,hard,0.000,0.000,0.500,0.856,0.407,False,False,
16,What was the average gross margin in 2024?,structured,hard,0.000,0.000,1.000,0.882,0.565,False,False,
17,What was the net income in 2022?,structured,medium,0.000,0.000,1.000,0.904,0.571,False,False,
18,Show me the monthly average stock prices for 2024,structured,hard,0.000,0.000,0.500,0.753,0.376,False,False,
19,"What was the stock price on January 2, 2024?",structured,hard,0.000,0.000,0.000,0.937,0.281,False,False,
20,What was the revenue in 2019?,structured,medium,0.000,0.000,1.000,0.931,0.579,False,False,
21,Show me a chart of revenue by quarter for 2024,graph,easy,0.000,0.000,0.500,0.550,0.315,False,True,
22,Create a line chart of stock prices in 2024,graph,easy,0.000,0.000,1.000,0.326,0.398,False,True,
23,"Show me a bar chart comparing revenue between 2022, 2023, and 2024",graph,medium,0.000,0.000,0.500,0.630,0.339,False,True,
24,Create a chart showing monthly trading volume for 2024,graph,medium,0.000,0.000,1.000,0.593,0.478,False,True,
25,Visualize the net income trend from 2020 to 2024,graph,medium,0.000,0.000,1.000,0.692,0.508,False,True,
26,Show me a pie chart of revenue distribution by quarter in 2024,graph,hard,0.000,0.000,0.500,0.532,0.310,False,True,
27,Create a chart showing stock price high and low by month in 2024,graph,hard,0.000,0.000,1.000,0.533,0.460,False,True,
28,Show me the 5-year revenue trend from 2019 to 2024,graph,hard,0.000,0.000,0.500,0.688,0.356,False,True,
29,Create a dual-axis chart showing revenue and net income for 2024 quarters,graph,hard,0.000,0.000,1.000,0.442,0.432,False,True,
30,Visualize the gross profit margin trend over the last 3 years,graph,hard,0.000,0.000,1.000,0.653,0.496,False,True,
31,What is the financial outlook based on recent performance?,advisory,easy,0.000,0.000,0.500,0.643,0.343,False,False,
32,Should I invest based on the 2024 financial data?,advisory,medium,0.000,0.000,0.500,0.601,0.330,False,False,
33,Analyze the revenue trend and recommend next steps,advisory,medium,0.000,0.000,0.500,0.541,0.312,False,False,
34,What are the key strengths and weaknesses from the 2024 financial data?,advisory,hard,0.000,0.000,0.500,0.526,0.308,False,False,
35,Provide a risk assessment based on stock volatility in 2024,advisory,hard,0.000,0.000,0.500,0.587,0.326,False,False,
36,"Hello, who are you?",conversational,easy,1.000,0.000,0.500,0.509,0.503,False,False,
37,What was the revenue for Apple in 2024?,edge_case,easy,0.000,0.000,0.000,0.290,0.087,False,False,
38,What was the revenue in 1800?,edge_case,medium,0.000,0.000,0.250,0.650,0.270,False,False,
39,What LLM model are you using?,edge_case,easy,1.000,0.000,0.333,0.355,0.406,False,False,
40,Show me the SQL query you used,edge_case,medium,1.000,0.000,0.000,0.256,0.277,False,False,
